1892,36700
1893,9380
1894,4360
1895,12400
1896,5300
1897,10100
1898,10900
1899,20800
1900,12300
1901,19600
1902,20800
1903,20400
1904,9620
1905,8870
1906,12900
1907,6950
1908,10600
1909,14900
1910,6880
1911,11100
1912,18400
1913,8350
1914,7440
1915,9300
1916,36100
1917,14300
1918,6320
1919,29500
1920,36100
1921,21500
1922,10200
1923,11700
1924,4960
1925,8740
1926,6530
1927,9460
1928,10700
1929,13600
1930,15300
1931,5200
1932,10400
1933,28200
1934,9600
1935,6530
1936,22700
1937,15300
1938,19700
1939,6360
1940,8900
1941,8820
1942,13300
1943,10100
1944,10600
1945,5180
1946,32300
1947,14500
1948,8500
1949,17200
1950,8500
1951,7790
1952,19500
1953,8140
1954,15500
1955,12600
1956,7300
1957,15500
1958,5440
1959,7230
1960,6320
1961,19300
1962,20900
1963,22600
1964,25000
1965,8740
1966,19000
1967,15900
1968,11000
1969,11900
1970,6590
1971,5790
1972,14200
1973,11200
1974,12300
1975,11900
1976,19000
1977,18500
1978,17200
1979,21600
1980,14900
1981,5500
1982,24100
1983,8970
1984,12800
1985,5030
1986,3090
1987,12200
1988,9340
1989,9080
1990,27100
1991,5940
1992,7660
1993,10900
1994,9420
1995,10500
1996,19500
1997,11300
1998,15000
1999,5530
2000,8900
2001,9270
2002,7100
2003,13600
2004,15300
