WY,date,flow
1894,###############################################################################################################################################################################################################################################################,1114
1895,###############################################################################################################################################################################################################################################################,4762
1896,###############################################################################################################################################################################################################################################################,3101
1897,###############################################################################################################################################################################################################################################################,2065
1898,###############################################################################################################################################################################################################################################################,733
1899,###############################################################################################################################################################################################################################################################,3115
1900,1900-01-05 00:00:00,753
1901,1901-02-25 00:00:00,1776
1902,1902-03-03 00:00:00,1493
1903,1903-01-29 00:00:00,1432
1904,1904-03-30 00:00:00,1759
1905,1905-03-09 00:00:00,616
1906,1906-03-17 00:00:00,5527
1907,1907-03-21 00:00:00,2066
1908,1908-03-26 00:00:00,1576
1909,1909-01-14 00:00:00,8779
1910,1909-12-10 00:00:00,4656
1911,1911-01-31 00:00:00,3667
1912,1911-10-01 00:00:00,600
1913,1913-03-12 00:00:00,506
1914,1914-01-26 00:00:00,15478
1915,1915-02-18 00:00:00,684
1916,1916-01-18 00:00:00,16125
1917,1917-03-30 00:00:00,1860
1918,1918-02-25 00:00:00,436
1919,1918-10-03 00:00:00,1137
1920,1920-04-16 00:00:00,3449
1921,1921-03-14 00:00:00,1162
1922,1922-01-03 00:00:00,1134
1923,1923-04-07 00:00:00,2572
1924,1923-10-01 00:00:00,291
1925,1925-02-09 00:00:00,841
1926,1926-03-27 00:00:00,482
1927,1927-02-19 00:00:00,5172
1928,1928-03-26 00:00:00,1675
1929,1929-03-24 00:00:00,686
1930,1930-02-24 00:00:00,1110
1931,1931-03-25 00:00:00,338
1932,1931-12-29 00:00:00,1574
1933,1933-03-18 00:00:00,767
1934,1934-01-03 00:00:00,593
1935,1935-04-09 00:00:00,1728
1936,1936-02-14 00:00:00,1814
1937,1937-02-07 00:00:00,14675
1938,1938-03-03 00:00:00,11461
1939,1939-02-26 00:00:00,670
1940,1940-02-26 00:00:00,2891
1941,1941-02-12 00:00:00,2966
1942,1942-01-26 00:00:00,1586
1943,1943-03-09 00:00:00,11921
1944,1944-03-06 00:00:00,1519
1945,1945-02-03 00:00:00,5669
1946,1945-12-24 00:00:00,1725
1947,1946-11-24 00:00:00,2439
1948,1948-04-11 00:00:00,1314
1949,1949-03-20 00:00:00,402
1950,1950-02-07 00:00:00,2879
1951,1950-11-19 00:00:00,14700
1952,1951-12-30 00:00:00,6732
1953,1953-04-28 00:00:00,2915
1954,1954-01-26 00:00:00,1314
1955,1955-02-17 00:00:00,1075
1956,1955-12-23 00:00:00,12711
1957,1957-05-19 00:00:00,2840
1958,1958-02-25 00:00:00,2336
1959,1959-02-18 00:00:00,685
1960,1960-02-02 00:00:00,1690
1961,1960-11-07 00:00:00,302
1962,1962-02-11 00:00:00,2835
1963,1963-02-01 00:00:00,15584
1964,1963-10-17 00:00:00,752
1965,1964-12-27 00:00:00,4693
1966,1965-11-24 00:00:00,1271
1967,1966-12-06 00:00:00,80029
1968,1967-11-20 00:00:00,904
1969,1969-01-25 00:00:00,24216
1970,1970-01-16 00:00:00,6298
1971,1971-01-20 00:00:00,835
1972,1971-12-25 00:00:00,587
1973,1973-01-19 00:00:00,1525
1974,1974-04-03 00:00:00,3079
1975,1975-03-26 00:00:00,1170
1976,1976-03-01 00:00:00,503
1977,1976-09-12 00:00:00,1487
1978,1978-02-09 00:00:00,10901
1979,1978-09-05 00:00:00,4097
1980,1980-02-18 00:00:00,14171
1981,1981-01-29 00:00:00,1214
1982,1982-04-11 00:00:00,9075
1983,1983-03-01 00:00:00,7822
1984,1983-12-26 00:00:00,4478
1985,1985-03-27 00:00:00,2001
1986,1986-02-19 00:00:00,8296
1987,1987-02-14 00:00:00,1448
1988,1988-01-05 00:00:00,758
1989,1989-03-03 00:00:00,2068
1990,1990-03-10 00:00:00,339
1991,1991-03-05 00:00:00,5025
1992,1991-11-18 00:00:00,476
1993,1993-01-08 00:00:00,2278
1994,1994-03-06 00:00:00,953
1995,1995-03-11 00:00:00,8420
1996,1996-02-20 00:00:00,9024
1997,1997-01-03 00:00:00,19794
1998,1998-02-23 00:00:00,8477
1999,1999-01-20 00:00:00,1285
2000,2000-02-14 00:00:00,1573
2001,2001-02-24 00:00:00,596
2002,2001-12-30 00:00:00,1688
2003,2002-11-09 00:00:00,10627
2004,2004-02-26 00:00:00,870
2005,2005-01-10 00:00:00,4751
2006,2006-04-04 00:00:00,3946
2007,2007-02-11 00:00:00,668
2008,2008-01-05 00:00:00,1758
2009,2009-02-24 00:00:00,993
2010,2009-10-14 00:00:00,1413
2011,2010-12-19 00:00:00,15010
2012,2012-01-21 00:00:00,1201
2013,2013-01-26 00:00:00,488
2014,2014-02-28 00:00:00,543
2015,2014-08-05 00:00:00,446
2016,2015-12-23 00:00:00,1274
2017,2017-02-08 00:00:00,11660
2018,2018-04-08 00:00:00,4542
2019,2019-03-06 00:00:00,7773
2020,2019-12-05 00:00:00,666
